2018-11-02 14:08:29.2112 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930068 

2018-11-02 14:08:29.7493 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930071 

2018-11-02 14:08:30.3443 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930072 

2018-11-02 14:08:31.0683 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930080 

2018-11-02 14:08:31.4634 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930081 

2018-11-02 14:08:31.9254 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930086 

2018-11-02 14:08:32.4174 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930095 

2018-11-02 14:08:33.3235 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930096 

2018-11-02 14:08:33.8726 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930097 

2018-11-02 14:08:34.2525 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930104 

2018-11-02 14:08:34.6685 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100002B 

2018-11-02 14:08:35.1066 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100002C 

2018-11-02 14:08:35.4786 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000033 

2018-11-02 14:08:35.9266 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000038 

2018-11-02 14:08:36.3726 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100003B 

2018-11-02 14:08:36.7717 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000040 

2018-11-02 14:08:40.6279 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000043 

2018-11-02 14:08:43.0930 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000044 

2018-11-02 14:08:43.5130 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000045 

2018-11-02 14:08:43.9491 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000046 

2018-11-02 14:08:44.4011 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100004A 

2018-11-02 14:08:44.8481 | INFO |    FRT_UpdateStatus.Program | 程式結束! 

2018-11-02 14:18:24.8491 | INFO |    FRT_UpdateStatus.Program | 程式開始! 

2018-11-02 14:18:25.6458 | INFO |    FRT_UpdateStatus.Program | FRTBARM0 資料異動筆數:0 

2018-11-02 14:18:25.6773 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100004C 

2018-11-02 14:18:28.0989 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100004E 

2018-11-02 14:18:28.8177 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000050 

2018-11-02 14:18:29.4427 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000052 

2018-11-02 14:18:30.0677 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100005D 

2018-11-02 14:18:30.5364 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000060 

2018-11-02 14:18:43.5677 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000062 

2018-11-02 14:18:57.0365 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000065 

2018-11-02 14:18:57.5994 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000069 

2018-11-02 14:18:58.1927 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100006C 

2018-11-02 14:18:58.6771 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100005 

2018-11-02 14:18:59.2399 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100006 

2018-11-02 14:18:59.8334 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100007 

2018-11-02 14:19:00.5052 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100008 

2018-11-02 14:19:01.0053 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100009 

2018-11-02 14:19:05.6928 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000A 

2018-11-02 14:19:08.9428 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000B 

2018-11-02 14:19:09.4271 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000C 

2018-11-02 14:19:09.9584 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000D 

2018-11-02 14:19:10.3646 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000E 

2018-11-02 14:19:10.8959 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000F 

2018-11-02 14:19:11.3490 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100010 

2018-11-02 14:19:11.7553 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100015 

2018-11-02 14:19:12.3023 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100016 

2018-11-02 14:19:12.7711 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100001E 

2018-11-02 14:19:13.2865 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100001F 

2018-11-02 14:19:13.7084 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000020 

2018-11-02 14:19:14.3334 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q606130023 

2018-11-02 14:19:14.8647 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060910094 

2018-11-02 14:19:15.3490 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060910095 

2018-11-02 14:19:15.8022 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060920001 

2018-11-02 14:19:16.2709 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000004 

2018-11-02 14:19:16.7553 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060920042 

2018-11-02 14:19:17.2240 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060920046 

2018-11-02 14:19:17.7397 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060920068 

2018-11-02 14:19:18.3024 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060920069 

2018-11-02 14:19:18.7865 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060920072 

2018-11-02 14:19:19.2240 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q051000002 

2018-11-02 14:19:19.6459 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q051000003 

2018-11-02 14:19:20.0834 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q051000008 

2018-11-02 14:19:20.5834 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100000C 

2018-11-02 14:19:21.0365 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100000D 

2018-11-02 14:19:21.4740 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100000F 

2018-11-02 14:19:21.9740 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000010 

2018-11-02 14:19:22.4743 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930064 

2018-11-02 14:19:22.9431 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930065 

2018-11-02 14:19:23.4272 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930066 

2018-11-02 14:19:23.8803 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930067 

2018-11-02 14:19:24.3646 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930068 

2018-11-02 14:19:24.8491 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930071 

